state,constituency_code,candidate_name,party_name,evm_votes,post_votes,total_votes,vote_share,constituency
U01,1,bishnu pada ray,bharatiya janata party,102182,254,102436,50.58,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,kuldeep rai sharma,indian national congress,77829,211,78040,38.54,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,manoj paul,andaman nicobar democratic congress,8236,18,8254,4.08,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,d ayyappan,communist party of india  (marxist),6009,8,6017,2.97,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,v.k. abdul aziz,independent,2195,8,2203,1.09,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,k j b selvaraj,all india anna dravida munnetra kazhagam,911,3,914,0.45,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,dr arun kumar mallik,bahujan samaj party,714,5,719,0.36,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,rinku mala mondal,independent,539,3,542,0.27,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,k venkat ram babu,independent,506,1,507,0.25,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,usha kumari,independent,378,2,380,0.19,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,salamat mondal,socialist unity centre of india (communist),349,2,351,0.17,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,anand ramnath arlekar,independent,342,0,342,0.17,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,nota,none of the above,1802,7,1809,0.89,1 - andaman & nicobar islands (andaman & nicobar islands)
U01,1,Total,Overall,201992,522,202514,100.0,1 - andaman & nicobar islands (andaman & nicobar islands)
U02,1,manish tewari,indian national congress,216350,307,216657,48.22,1 - chandigarh (chandigarh)
U02,1,sanjay tandon,bharatiya janata party,213770,383,214153,47.67,1 - chandigarh (chandigarh)
U02,1,ritu singh,bahujan samaj party,6697,11,6708,1.49,1 - chandigarh (chandigarh)
U02,1,lakhvir singh alias kotla,independent,2625,1,2626,0.58,1 - chandigarh (chandigarh)
U02,1,deepanshu sharma,akhil bhartiya parivar party,1066,2,1068,0.24,1 - chandigarh (chandigarh)
U02,1,ex-assistant commandant ranpreet singh,independent,1051,3,1054,0.23,1 - chandigarh (chandigarh)
U02,1,vinod kumar,independent,683,0,683,0.15,1 - chandigarh (chandigarh)
U02,1,sunil thaman,haryana jansena party,576,1,577,0.13,1 - chandigarh (chandigarh)
U02,1,baljeet singh alias laddi,independent,434,2,436,0.1,1 - chandigarh (chandigarh)
U02,1,sunil kumar,independent,321,0,321,0.07,1 - chandigarh (chandigarh)
U02,1,partap singh rana,independent,306,1,307,0.07,1 - chandigarh (chandigarh)
U02,1,mahant ravi kant muni,independent,295,0,295,0.07,1 - chandigarh (chandigarh)
U02,1,vivek sharma,independent,294,0,294,0.07,1 - chandigarh (chandigarh)
U02,1,piar chand alias koundal,independent,253,2,255,0.06,1 - chandigarh (chandigarh)
U02,1,kishor kumar alias banti bhaiya,independent,239,0,239,0.05,1 - chandigarh (chandigarh)
U02,1,rajinder kaur,sainik samaj party,215,2,217,0.05,1 - chandigarh (chandigarh)
U02,1,raj prince singh,super power india party,205,0,205,0.05,1 - chandigarh (chandigarh)
U02,1,pushpinder singh alias lovely attawa,independent,154,0,154,0.03,1 - chandigarh (chandigarh)
U02,1,kuldip rai alias happy sood morinda,independent,114,0,114,0.03,1 - chandigarh (chandigarh)
U02,1,nota,none of the above,2900,12,2912,0.65,1 - chandigarh (chandigarh)
U02,1,Total,Overall,448548,727,449275,100.0,1 - chandigarh (chandigarh)
U03,1,patel umeshbhai babubhai,independent,42469,54,42523,46.02,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,1,lalubhai babubhai patel,bharatiya janata party,36243,55,36298,39.28,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,1,ketan dahyabhai patel,indian national congress,11237,21,11258,12.18,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,1,umesh patel,navsarjan bharat party,545,0,545,0.59,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,1,sakil latif khan,independent,323,0,323,0.35,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,1,idrish g mulla,independent,247,0,247,0.27,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,1,patel umeshbhai babu,independent,238,0,238,0.26,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,1,nota,none of the above,977,1,978,1.06,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,1,Total,Overall,92279,131,92410,100.0,1 - daman & diu  (dadra & nagar haveli and daman & diu)
U03,2,delkar kalaben mohanbhai,bharatiya janata party,120833,241,121074,58.89,2 - dadar & nagar haveli (dadra & nagar haveli and daman & diu)
U03,2,ajit ramjibhai mahala,indian national congress,63423,67,63490,30.88,2 - dadar & nagar haveli (dadra & nagar haveli and daman & diu)
U03,2,kurada deepakbhai,bharat adivasi party,10188,9,10197,4.96,2 - dadar & nagar haveli (dadra & nagar haveli and daman & diu)
U03,2,borsa sandipbhai s,bahujan samaj party,3147,5,3152,1.53,2 - dadar & nagar haveli (dadra & nagar haveli and daman & diu)
U03,2,shaileshbhai vartha,independent,2522,2,2524,1.23,2 - dadar & nagar haveli (dadra & nagar haveli and daman & diu)
U03,2,nota,none of the above,5144,7,5151,2.51,2 - dadar & nagar haveli (dadra & nagar haveli and daman & diu)
U03,2,Total,Overall,205257,331,205588,100.0,2 - dadar & nagar haveli (dadra & nagar haveli and daman & diu)
U05,1,praveen khandelwal,bharatiya janata party,514958,1538,516496,53.46,1 - chandni chowk (nct of delhi)
U05,1,jai prakash agarwal,indian national congress,426542,629,427171,44.22,1 - chandni chowk (nct of delhi)
