winner_party,loosing_party,margin,constituency
bharatiya janata party,indian national congress,24396,1 - andaman & nicobar islands (andaman & nicobar islands)
indian national congress,bharatiya janata party,2504,1 - chandigarh (chandigarh)
independent,bharatiya janata party,6225,1 - daman & diu  (dadra & nagar haveli and daman & diu)
bharatiya janata party,indian national congress,57584,2 - dadar & nagar haveli (dadra & nagar haveli and daman & diu)
bharatiya janata party,indian national congress,89325,1 - chandni chowk (nct of delhi)
bharatiya janata party,indian national congress,138778,2 - north-east delhi (nct of delhi)
bharatiya janata party,aam aadmi party,93663,3 - east delhi (nct of delhi)
bharatiya janata party,aam aadmi party,78370,4 - new delhi (nct of delhi)
bharatiya janata party,indian national congress,290849,5 - north-west delhi (nct of delhi)
bharatiya janata party,aam aadmi party,199013,6 - west delhi (nct of delhi)
bharatiya janata party,aam aadmi party,124333,7 - south delhi (nct of delhi)
indian national congress,nationalist congress party – sharadchandra pawar,2647,1 - lakshadweep (lakshadweep)
indian national congress,bharatiya janata party,136516,1 - puducherry (puducherry)
yuvajana sramika rythu congress party,bharatiya janata party,50580,1 - araku (st) (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,327901,2 - srikakulam (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,249351,3 - vizianagaram (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,504247,4 - visakhapatnam (andhra pradesh)
bharatiya janata party,yuvajana sramika rythu congress party,296530,5 - anakapalle (andhra pradesh)
janasena party,yuvajana sramika rythu congress party,229491,6 - kakinada (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,342196,7 - amalapuram (sc) (andhra pradesh)
bharatiya janata party,yuvajana sramika rythu congress party,239139,8 - rajahmundry (andhra pradesh)
bharatiya janata party,yuvajana sramika rythu congress party,276802,9 - narsapuram (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,181857,10 - eluru (andhra pradesh)
janasena party,yuvajana sramika rythu congress party,223179,11 - machilipatnam (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,282085,12 - vijayawada (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,344695,13 - guntur (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,159729,14 - narsaraopet (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,208031,15 - bapatla (sc) (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,50199,16 - ongole (andhra pradesh)
telugu desam,yuvajana sramika rythu congress party,111975,17 - nandyal (andhra pradesh)
